rate,text
5,"Очень вежливое обслуживание,прекрасный персонал"
4,"Удобно, дёшево, рядом с домом"
5,"Чистый магазин, всё на своём месте"
1,"Качество товаров отвратительное . Особенно с утра,когда заманивают пенсионеров скидкой.  Фрукты и овощи
 зачастую подпорчены,вялые. .Покупки теперь делаю в перекрестке. Показатель качества товара с утра во время скидок и есть отношение и не уважение к пенсионерам."
4,"Магазин в шаговой доступности, продукты и товары на каждый день"
5,"Отличный магазин этой сети. Огромная благодарность заведущей. Очень чисто, всегда выложен товар в достатке, отличного качества, много акций. Персонал доброжелательный.  И бонусом для меня, близко от дома."
4,Достаточно хороший выбор
5,"Удобный магазин. Круто, что появились кассы самообслуживания: больших очередей последнее время нет. 
Всё больше товаров появляется на развес, можно приходить со своими мешочками."
5,Классный новый магазин!
4,"Большой выбор товаров по сравнению с другими ""пятёрочкам"", чисто. Мало скидок."
1,"Покупал в магазине сметану,на ней не было крышки,я с другой снял ее и поставил на свою сметану,проходила работник магазина и и мне стала в грубой форме высказывать о недовольстве.Пусть лучше ее поучат этикету как надо общаться в магазине,с покупателями я ее сфотографировал она была не довольна и бежала от съёмки "
1,"Приобрела сегодня в пятёрочке с/м хек. Спасибо за ужин, рыба просто вся развалилась при жарке, переморожена, в тушках одна вода. Уважаемые сотрудники следите за своей продукцией. "
5,"Все отлично. Удобная парковка, ассортимент товара, отзывчивый персонал."
3,"Последнее время очень упал общий уровень магазина. Любая соседняя пятерка интереснее по ассортименту, выкладке, персоналу.
Уточнение. 19.06.2020 полностью отремотирована. Изменена концепция: терминалы самообслуживания,  пекарня, образцовая выкладка."
5,"Стандартный магазин это сети, не плохой
 "
4,"С парковкой хорошо! Магазин удобный, ассортимент продуктов тоже достаточно обширный. Удобный график работы с 8.00 утра. Цены как в пятерочке!"
5,"Хороший магазинчик, внутри дополнительно есть фотоцентр, аптека"
5,"Путёвая 5чка, прям напротив дома! И персонал хороший"
3,"от силы 2 кассы работают , постоянные очереди"
5,После модернизации делать покупки стало намного приятнее.
5,Удобное местоположение рядом с таможенной академией
4,"Магазин не впечатляет,обслуживание среднее,продукты нормальные.х0"
4,"Нормальный торговый маркет,самое главное хорошо устроена стоянка около магазина.Сейчас можно заехать и с Октябрьской наб. и с другой стороны магазина,кстати с внутреннего заезда красиво оформлен газон всегда чисто и убрано,респект.Так же около пятерочки находятся и кафе,парихмакерская,магазин мясо,удобно .Вот если бы дальше автобусы пустили туда где Ласточкино гнездо,наверно посетителей магазина было бы больше.Кассиры там хорошие,обслуживание замечательное.В общем этот магазин надо посещать и почаще."
1,"Всем доброго времени суток.
Сам магазин меня не интересует. А вот проезжая часть очень.
Уважаемые руководители данного магазина, организуйте зону выгрузки товара для себя пожалуйста. Вы постоянно перекрываете проезд брошенными ""газелями"" на аварийке. И это начинает конкретно раздражать.
Либо проведите беседу с водителями, чтоб когда они паркуются оставляли проезд. Надоело стоять из за вашей неорганизованности."
5,Большой для этой сети магазин в отдельно стоящем здании. Всё на уровне. 
5,Отличный все сделано для пенсионеров 
2,Мороженное хоть завезите в жаркие дни заранее! (06.06.) пустые холодильники. Позорище! Менеджеры слабоваты 
1,Вообще не магазин. Очень тесно
1,"Неадекватные продавцы :(
"
2,Не очень нравится расположение да и сам магаз
3,"Закрытая территория,  много обходить приходится, что бы попасть в него"
5,"Есть кассы самообслуживания)) 
"
5,"Любимый магазин, и рядом "
4,"Обычная пятёрочка, есть кассы самообслуживания"
3,всегда работает одна касса как результат очень долгое обслуживание
5,"Прекрасный персонал, на полках есть все необходимое в разумном ассортименте. Просрочка ни разу не попадалась "
5,"Маленькая, но очень толковая.
Минусы: Нет касс самообслуживания. Нет санитайзера. "
5,"Хороший выбор продуктов..
"
5,"Приятно был удивлен отношением работников. Не запомнил имя девушки. Все объяснила, отвела, показала и нашла нужный товар. Спасибо Вам большое, что есть такие люди. К сожалению не запомнил вашего имени, но очень приятно было такое отношение."
5,Очень хорошая пятёрка. Всегда чисто. Персонал адекватный. Очередей нет. Все есть на полках и товар и ценники. Просрочки не видел. Удобный паркинг хоть и не большой.
5,Хороший магазин у дома. 
4,"После ремонта стал лучше, но цены не самые приветливые)"
1,Маленькое помещение. Маленький ассортимент.
5,"Этот магазин я посещаю чаще всего. Хороший ассортимент и обслуживание. Кстати, мне гораздо ближе ""Пятёрочка"" на Володарского, 14, но я туда почти не хожу. Неудобный магазин, расположен на двух этажах. Раньше там был Дом Быта, он был, по-моему, полезней, чем очередная ""Пятёрочка"" (у нас в Сестрорецке их уже, кажется, 6). "
5,"Персонал хороший, всегда чисто, кассы все работают, местоположение удобное, только из-за дачников летов продуктов мало"
4,"Пролетарский магазин, доступные цены и весь перечень необходимого товара, могу смелосказать самый прсещаемый мной магазин)))"
1,"Магазин,совершенно для маркета не подходит.Проходы узкие,им даже товар путем не разложить.И вообще натыкали этих пятерочек на нашем “”пятаке.（Ветеранов 149,Пилютова,угол Ветеранов и Пилютова）,куда на одном “пятаке”столько？Был хоз.маг. на Ветеранов 149,а нет -продать и закрыть.У нас же прод.магазинов не хватает.Сейчас за гвоздем или шурупом шуруй на Гарькового в конец,почти на Чекистов."
3,"Продавцы все воспитаные. Все расскажут и об'яснят. Но просрочки в йогуртах очень много. Пересмотрели даты не на одном ,пока нашли срок годности нормальный."
5,Рядом с работой и хороший обслуживающий персонал
5,Чисто нормально. Магазин как магазин 🤭🤭🤭🤭😊😊😊😊😊
5,"Всегда скидки, всё очень хорошо, добрые работники"
5,Всегда свежее пиво.
5,Хороший магазин
5,Нормально всё даже скажу больше чем нормально 
2,Ассортимент - ни к чёрту. Ценники перепутаны или отсутствуют. Место не самое приятное 
4,"Могу сказать одно. Неплохой магазин, но звезду сняла за вход. Очень неудобно с коляской туда попасть. Цена качество неплохое, дешевле, чем в Перекрестке!!"
5,"Отличный магазин, ставлю 5+. Чистенько, ченники соответствуют товару, персонал доброжелательный. Молодцы, так держать👍"
5,Всё нормально
4,"Сделали самообслуживание, теперь легче"
5,"Считаю магазин одним из лучших в сети ""Пятерочка"". Возможно он так хорош благодаря контролю его работы Денисом Ивановичем. Бывает наплыв посетителей в часы пик но вопросы с открытием доп касс оперативно решаются. В настоящее время закрыт на реконструкцию до 20 января."
3,ценик большой
5,Просторный зал. большой ассортимент.  красивые холодильные секции. вежливые продавцы-кассиры. Всем здоровья!
5,"Приятно заходить в такие магазины.спасибо!!!

"
5,Магазин вообще топ постоянно в него хожу Всем советую продукты обалденные всё шикарно если бы ещё энэргосы несовершеннолетним продавали было бы вообще топ
5,"Маленький, уютный магазин"
5,"Хороший магазин, удобно расположен

"
3,"Как магазин один из худших, но наверное самый хороший персонал, хожу туда только из-за этого"
5,"Отличный ассортимент, огромный выбор товаров. Приветливые сотрудники."
2,Всё корзине грязь тележек тоже.чистота не очень
2,"Есть просрочка,цены на ценнике не всегда совпадают с ценой на кассе,но кассиры не идут на конфликт,в отличии от Перекрёстка,и делают возврат суммы разницы в чеке и ценнике."
4,Рядом с метро. Хороший ассортимент.
5,"Хорошая пятёрочка, большая, ассортимента много, всегда есть все что нужно! "
1,Следить за просрочкой товара и порядком в тз. Следить за качеством набираемого персонала
5,Выручает
3,"Обычная пятёрка, грязно, не очень свежие продукты"
5,Хорошее место 
3,"Постарайтесь пожалуйста понизить цены на товары
"
2,"Грязно, плохо пахнет много просрочки, тухлых продуктов, вежливый персонал."
4,"нормальный магаз, лучше Дикси, но хуже Спара. Поэтому находится как раз между ними))"
5,На мой взгляд лучшая Пятерочка в районе. На полках всегда всё аккуратно и понятно какой ценник к какому товару.
5,"Хороший,чистый и уютный магазинчик."
5,"Хороший ассортимент,скидки,не просроченный товар,своевременно выкладка товара"
2,"Места мало, касс мало, фрукты и овощи чаще всего не ахти"
3,"Всю металлку застроили пятерками:)) разные владельцы, ассортимент один! Качество типа, переклееных сроков годности🤷‍♂️"
4,"Вроде 5ка как 5ка, открылась недавно. Но самое интересное что товар из Китая получал именно там. Подошёл на кассу, показал штрих и вуаля. Был конечно удивлён."
3,"Так себе магазинчик. Просто рядом с большими жилыми домами. А так,...обыкновенный и маленький, он приспособлен из магазинчика.... девяностых, а в то время, сами понимаете, об удобстве людей мало кто заботился, заботились о доходе, быстром и лёгком."
5,"Хороший магазин,удобное расположение.девушки на кассе доброжелательные"
2,"Не люблю эту сеть, захожу только если сильно приспичит. Цены хуже чем в Дикси, сплошной обман с баллами. "
5,"Пятерочка как пятёрочка, что сказать. Все хорошо."
4,"Почему 4 ,персонал не всеь но есть персоны которые в ниготиве на весь мир"
3,"Удобно забежать за хлебушком,т.к рядом с домом."
3,"С коляской не проехать!

Одной «Гали» на кассе не всегда хватает.
Вторая периодически пытается помогать людям на кассах самообслуживания, которые переоценили свои способности!"
5,Лучший из магазинов шаговой доступности
3,"Довольно чисто, проблемы с ящиками для хранения вещей. Все постоянно или не могут  их открыть или ключом от своего ящика случайно открывают другие ящики, потому что один ключ на все ящики!! 
Теперь ящики убрали вообще. 

Длиннейшие очереди на кассах, хамоватые кассиры. 

А сегодня вообще сказали, что я должна предъявлять для скидки реальную карту пятерочки, а не в приложении на телефоне! Якобы она ворованная, а не то, что приложение создано для того, чтобы не носить с собой миллион карточек от разных магазинов. + зачем-то они добавляют ноль к бонусам. Допустим у меня 460 бонусов, но списать можно только 46."
4,"Пятёрочка хорошая, чистая, приятнаяно не однократно вижу как южане выносят товар через вход, так как нет охраны, ни кто не следит, всём плевать"
5,Хорошее место расположения и оформление магазина
3,Очень грязный магазин
5,"Хороший магазин, покупаю всегда всё свежее, мне очень нравится!"
3,Норм. Всё хо-ро-шо
2,"Магазин так себе. Несколько раз замечал просрочку на полках, недавно чуть не купил сосиски с плесенью, то же бывает и с молочкой. Не так давно слушал как работник в зале общался со своим товарищем по телефону и мат был через каждое слово, причём матерился долго и громко, но никто из коллег его не остановил.  Мог бы быть и почище."
2,По сравнению с другой не подалеку ужасно.
2,"Просто ""пятёрочка"",просто рядом, товары не все, и качество тоже"
3,"Не всегда есть, полный ассортимент, разбирают быстро "
4,Хорошие скидки
5,Хороший чистый магазин.
5,"Чисто. Продукты и овощи свежие,не кондицию стараются сразу убирать. Есть всё необходимое.
Кассиры вежливые)"
4,"Парковки нет. И магазин не очень большой, раньше был Нетто. А так чисто, аккуратно. Пока ни разу не накололи"
4,Всегда работает одна касса
4,"Хорошая современная пятёрочка, достаточно чисто, есть всё необходимое. Много готовых обедов и вполне приличная выпечка + кассы самообслуживания. В обед много школоты и студентов. Снимаю одну звезду за многоярусность, не совсем удобно."
3,"После ремонта ничего толком не изменилось. Ценники не соответсвуют, товар на полках раскидан."
3,Каждый день новые продавцы
5,"Хороший, достойный магазин после ремонта.
Но не хватает больше касс, или хотя бы поставили бы кассы самообслуживания. В остальном- пока без нареканий."
5,"Хорошо, что тут сказать 🌚"
5,Клевый магазин... нормальный выбор . Всё что надо есть в наличии.
4,"Не плохой ассортимент, частые акции."
3,Не всегда ценник соответствует цене в чеке. Проверяйте не отходя от кассы!
5,"Интересный магазин, просторный зал."
4,"Рядом с домом, удобно"
5,"Парковка отсутствует, пандус для инвалидов отсутствует, тележки и корзинки для товара имеются, в магазине чисто, ценники имеются ко всем товарам"
2,Гнилые фрукты и овощи. Ценники не соответствуют. Пятёрочка один из худших магазинов подобного формата.
5,Обычная пятёрочка в шаговой доступности
5,"Кому как, а мне очень нравится эта пятерочка , живу в этом доме , поэтому бегаю в эту пятёрку уже 13 лет . Конечно персонал как семечки меняется , но сейчас уже где то около года постоянные , прихожу уже как к себе домой , вежливые кассиры есть шустрые есть очень долгие кассиры, продавцы всегда помогут если что то спросишь они постараются на складе найти если на полке нет  , просрочка бывает во всех магазинах и тут тоже встречалась. Если вежлив будешь к ним , они двойной вежливостью отвечают . "
3,"Не самый лучший из сети магазинов, товар выложен плохо, ценники часто не соответствуют. Хорошо что стоят терминалы самообслуживания. Хожу туда только потому что ближайший от дома."
5,"Как же я рада, что она у нас есть!"
4,Всегда много людей 
5,"Дружелюбные педагоги, желающие помочь детям иметь не только знания, но и познания культуры Петербурга."
5,"Всё убрано, и чисто

"
5,Отлично
5,Приятные цены и персонал!
5,"Обычная Пятерочка,но в магазине чисто,все удобно и аккуратно..Близко к дороге и удобная парковка.."
3,"Магазин расположен в достаточно людном месте, но продукты лежат не аккуратно, не совсем свежие, хочется навести порядок в продуктах,"
1,"Заходил сегтдня в этот магазин. Они там набрали чернорабочих каких то тиджиков или узбеков. Один из них походя мимо коробки с морковкой, плюнул туда. Видимо лучшего места не нашёл. Больше не буду заходить в этот магазин. "
5,"Регулярные скидки и пенсионеров не обижают, хорошее обслуживание: вежливый персонал"
5,"Пятерочки стали очень приятным, а в этой особенно доброжелательный персонал"
5,"Чисто, красиво"
1,Обслуживание плохое песанал лезит в драку повезло что есть камеры так таджык убил
5,"После ремонта стала лучше. Просторно, чисто. Ну, а в остальном - Пятерочка"
5,"Вообще-то это 5ка- военторг, это не совсем 5ка, хотя карточка на скидки действует и цены такие же как в осноном магазине. Также есть стенд для подарков военным, где я некоторые безделушки покупал именно как подарки. А в целом хороший магазин, народу не много. Ну тут на Черной речке только 2 магазина, ну скажем крупных,  и оба -пятерки. Есть несколько торговых точек ещё, но помельче. Так что выбирать особо не из чего."
5,"Я могу сказать , что  наша Пятерочка очень изменилась, внешне. Интерьер магазина изменился в лучшую сторону. По-моему стало удобнее.  Товары расположены более удобно,  в общем, сейчас мне этот магазин очень нравится.  Иногда, конечно,  бывают казусы. У меня привычка сразу проверчть чек , не выходя из магазина, проверяю цены. Один раз увидела, что выставленная цена не соответствует кассе, вызвала администратора , он мне сказал, что  сниженная цена была вчера, а сегодня просто не поменяли цену, но мне отпустили товар по той цене, которая была на прилавке. Конечно, огрехи есть, как  в каждом магазине, но они решаются в пользу покупателя.  И , все-таки, как хорошо, что в этом магазине поработал  хороший дизайнер."
5,Ребрендинг пошел на пользу. Качество товар тоже самое. Выбор стал больше. Обслуживание улучшилось. (Перестали продавать сигареты)
1,Закрылись 12.11.2019 раньше времени 
3,"Если честно, данная сеть магазинов меня не привлекает. Ассортимента выбор не большой, постоянно ценники не соответствуют действительности. Все же посещаю иногда."
3,"Магазин сам по себе неплохой, отделка приличная, но есть одно НО: очень часто, в отделе с пивом в углу чем то неприятно пахнет, да до такой степени, что аж выворачивает. Данный запах содержался в магазине на протяжении недели как минимум. Персонал никак не избавлялся от него."
4,Магазин шаговой доступности!!! Тесно возле касс!!! Постоянные очереди и это понятно (два магазина на весь жилой комплекс). Продукты всегда свежие! Ассортимент хороший!!! Продавцы вежливые!!!!
5,"Как сменился директор, сразу стала намного лучше овощи привели в порядок, заходишь аж глаз радуется"
5,Хороший магазин и приятный персонал!
5,"СвмаЯ лучшая пятёрочка. Люблю ее. Всегда чисто, нормальный персонал, продукты с нормальным сроком годности (бывает конечно что попадаются и не очень, но тут нужно быть внимательным самому."
5,"Для Пятёрки всё адекватно.  Из близлежащих магазинов, скорее всего, пойду в этот. Знаю, что найду то, что мне необходимо. Достаточно чисто и всё понятно. Нравятся терминалы самостоятельной оплаты покупок. Есть, конечно, огрехи. Но, где их нет?"
5,"Хорошо магазин , чистый , светлый"
3,"Были в период новогодних. Но не смотря на трудности работы, коллектив старался как мог."
3,Находил развакум подходил говорил а мне говорили не моë дело
5,"Купил как-то три кило хикамы в сетке, оказалось, что просто картошка. И когда уже камчатский краб появится?!?! :)))"
1,"Очень бестактная женщина кассир, имя не посмотрела, но знаю, что работает давно, с короткими темными волосами. Покупала пиво, детскую кашку и кофе. Кассир сначала посмотрела осуждающе, а потом сказала ""берете детскую кашку и пиво...""🙄 мол, пьешь еще и ребенок есть. К слову, детей у меня нет, кашку брала для себя, пиво было абсолютно другому человеку. Но почему это так волнует ваших кассиров, пятерочка? Пусть кассиры повторят свои обязанности и на досуге почитают что такое чувство такта. Хотелось бы получить обратную связь по этому вопросу. "
5,Всё устраивает очередей никогда не бывает магазин лучше всех
5,"Нормальный магазин. Вполне удачно расположен. Просторный внутри. Цены как и везде, особых отличий с другими аналогичными магазинами не имеет."
5,Уютная и чистая пятёрочка.
5,"Удобно. Хорошие акции, кассы самообслуживания."
4,"Хороший выбор товаров,хороший персонал,не высокие цены,всё чисто проводятся регулярные уборки,очереди небольшие максимум 15 минут,есть хорошие скидки и акции,находится недалеко,всем рекомендую"
5,"Пятёрочка,как Пятёрочка, народу не много, персонал работает, продуктов много, касса одна."
4,"Магазин шаговой доступности, люблю акции. Вход не продуман."
5,"Хороший магазин, часто захожу купить , ассортимент большой , качество весьма хорошее , и есть несколько способов покупки что упрощает ситуацию с оплатой . И персонал довольно вежливый."
4,"Выпечку перестала здесь покупать, уже писала почему  и ничего не изменилось. Уборщица мусор заметает под стенд для овощей."
1,"Шляпная пятерка,четыре кассы а работают две,как не зайдешь очереди на пол часа на кассу,обходите мимо)"
4,Хожу в этот магазин регулярно. Неплохой асортимент товаров и цены приемлимые. Только не очень удобно теперь платить через касу. Кассиры постоянно отвлекаютя на кассы самообслуживания и забывют об очереди в свою кассу.
5,"Отличный магазин у моего дома, полностью устраивает, довольно приветливый персонал, выбор неплох, беру тут просто постоянно, на тухляк не нарывался ни разу и очень всё аккуратно, чисто(кажется так и должно быть, но не во всех пятёрках так)."
5,Хороший магазин. Все необходимое есть. Очень чисто в помещении
5,"Молодцы, сделали быстро и ""классно""...единствннно в первый день, в зале практически небыло сотрудников ко торые помогли-бы сориентироваться. Я ещё и приз выиграла по чеку- приятненько😊"
1,"Людям отказываются возвращать разницу при расхождении чеков и ценников. Постоянно виснут терминалы самостоятельной покупки, а на 2 работающих кассах очереди. Директор не самый вежливый и на стороне продавцов, а не клиентов. У мандаринов ценников вообще не было. У части товаров (хлеба, акций) тоже "
5,Хороший магазин. Есть кассы самообслуживания. Большой ассортимент товаров.
2,Место ужасное сотрудники хамят грязно прудууты просрочены кассы неудобные старые воняет мусором единственный плюс это скидки здесь они реально хорошие!
5,"Овощи и фрукты всегда свежие, большая парковка,в магазине установлены кассы самообслуживания, очень удобно,меньше очередей. Чисто,приятно заходить в магазин."
5,"Отличный получился магазин после ремонта .
Всегда вкусна и свежая выпечка ,фрукты и овощи . Большой выбор товара . Спасибо директору магазина и всему персоналу ."
2,Кассир стаял на кассе курил электронные сигареты
1,Кассиры👎👎👎
2,"Ассортимент ничтожный, расположение товаров не удобное, сочувствую людям, которым приходится выбирать этот магазин ежедневно."
5,"Большой ассортимент товаров, много готовой еды, на многую часто бывают хорошие скидки в связи с приближением срока годности."
5,Хороший продуктовый магазин 
5,"Большой, красивый новый магазин. Как Азбуака вкуса только с ценами Пятёрки. Приятненько!"
3,"Обычная пятёрка, цены выше чем в пятёрках других районов."
4,"Персонал нормальный,товары как в социальном магазине,некоторые немного переценены,скидки и акции бывают,чистота в зале для зимы неплохая,расположение на месте моего любимого спортзала,не взрывать же вас,очереди не замечаю,хожу на электронные кассы."
4,"Бюджетный магазин и таких очень  много по городу. Простенький набор продуктов всегда можно найти, но если хотите кулинарных изисков то вам в другой магазин."
3,"Не очень этот магазин. Ассортимент не очень, фрукты и овощи оставляют желать лучшего. Часто покупаю здесь хлеб и молочные продукты. Персонал хороший это радует"
5,"Пятёрочка как и все , только очень неудобное,  вытянутое помещение . Если что-то забыл нужно пробежать через весь магазин. Мало места у касс, если много покупателей , неудобно разойтись. И часто в проходах стоит нераспакованный товар, что загромождает и без того узкое помещение."
4,"Чисто. Хороший ассортимент.,соотношение  цена качество. Вежливые продавцы."
4,"Что можно сказать про пятерочку. Все всё про неё знают, но не большой плюс что магазин нового образца по которому приятно ходить"
4,"Чисто, но часто работает одна касса, скапливается Очередь, в конце рабочего дня сомнительное удовольствие."
5,Хороший и удобный магазин рядом с домом
5,"Чисто, овощи/фрукты постоянно свежие, адекватные цены.
Продавцы вежливые общительные.
Вобщем, по-семейному)"
5,"Отличный магазин, прекрасный персонал
"
5,Всё отлично
4,"В ряду прочих Пятерочек приятное место, но практически всегда приходится ждать на кассах и в зимнее время очень скользкие и опасные ступени, удивительно что без жертв до сих пор"
5,"Приятно отметить этот магазин, улучшение налицо, особая благодарность молодому, симпатичному и очень доброжелательному охраннику, умница, никогда не бывает равнодушным, прийдет на помощь и мамочке с ребенком и бабушке с авоськой, приятно бывать в этом магазине, так держать, процветания вам!"
4,"Хорошая пятерочка, только места маловато. Ассортимент большой, все необходимое можно купить."
4,"Большая удобная пятерка, все норм"
5,"Хороший магазин, нравится, что не нужно стоять в очереди на кассе..."
4,Огромный минус за отсутствие нормальной парковки. Есть своя выпечка и кассы самообслуживания. Немного тесная- часто не разъехаться с тележками(
5,"Обычная пятерочка. Все как положено, ничего плохого не скажу."
4,"Очень нравится, что в этом здании есть аптека и орешки на развес)
Магазин, как магазин. Ценники есть не везде. Ассортимент не велик"
5,Магазин Петерочка после ремонта.Стало удобно и свободно.Большой выбор продуктов.Цены и акции одинаковые с сетью Петерочка.
3,"Очень маленькие столешницы для выкладки покупок, и те завалены продукцией по акции. Большие очереди у касс, работают не все кассы (1-2), медленное обслуживание..."
1,После открытия в углу отдела выпечки- СВЕЖОГО ХЛЕБА И БУЛКИ НЕТ. Всё трёх четырёх дневное!!!!
5,"Место странное, но пятерка хорошая"
5,"Хороший магазин, Всегда чисто. Лабиринт кончно внутри. Девочки на кассах приветливые."
5,"Моя любимая пятёрочка,  и продавщица бабуличка )))"
5,"Отличный магазин!!!! 
Приятно ходить туда за покупками сотрудники отзывчивые, всегда чистота и порядок!!!"
4,Хороший магазин
5,Отличная просторная пятёрочка. Кассиры вежливые и внимательные.
5,"В магазине чисто, просторно. На кассе вежливые продавцы"
1,"Это не магазин, это дно. Как не приду вечером после работы купить продукты, очередь метров на пять , и работает в основном одна касса. Вторая кассир то деньги пошла менять, то гуляет по залу. После 10 мин ожидания бросила продукты и ушла. Стало с сердцем не хорошо . Полнейшее безобразие."
1,"Постоянные проблемы с ценниками и наличием товара, это провоцирует конфликты на кассе. Есть второй этаж, куда неудобно подниматься пожилым людям. 

Но самое отвратительное это территория вокруг магазина. 
Прямо перед входом стихийная парковка, которая превращается в грязь при дожде. А с обратной стороны магазина и по бокам постоянные груды мусора. И это отдельно стоящее здание, никто больше не выбрасывает мусор в баки и урны, они принадлежат магазину. Сегодня видела замечательную картину - директор магазина и его коллеги вышли покурить на крыльцо среди мусора."
4,"Не знаю, пока мне эта ""Пятёрочка "" нравится. Магазин не большой, но в нем нужные товары есть."
5,"Просторный магазин, широкий ассортимент продуктов и товаров повседневного спроса. Часто здесь бываю."
3,"""Последняя в своем роде"")) Другие магазины по городу намного лучше оснащенны. Низкий выбор вин, грязный стилаж с сидром, к которому липнут банки и т.д."
